,departement,lieu_id,Fermeture_Estivale,categorie,name_x,close.actif,close.dateDebut,close.dateFin,name_y,Counts
31267,Nord,14982,Modification,407.0,,False,,,Conseil administratif,1
31268,Hérault,14983,Ouvert,404.0,,False,,,Accompagnement social,1
31277,Indre,15007,Ouvert,804.0,"Activités de décoration, sorties culturelles, séjours...",False,,,Activités,1
31278,Indre,15013,Ouvert,804.0,"Activités décoration, sorties culturelles, séjours...",False,,,Activités,1
31280,Seine-Maritime,15021,Ouvert,404.0,,True,2021-12-09 00:00:00+00:00,,Accompagnement social,1
31286,Gironde,15062,Ouvert,304.0,,False,,,Toilettes,1
31287,Hérault,15072,Ouvert,110.0,,False,,,Infirmerie,1
31290,Loire-Atlantique,15078,Ouvert,804.0,Rencontre autour du livre,False,,,Activités,1
31292,Essonne,15080,Ouvert,203.0,,False,,,Accompagnement à l'emploi,1
31293,Loire-Atlantique,15081,Ouvert,602.0,dejeuner,True,2021-11-01 00:00:00+00:00,,Restauration assise,1
31294,Essonne,15085,Ouvert,404.0,,False,,,Accompagnement social,1
31295,Essonne,15087,Ouvert,201.0,,False,,,Atelier numérique,1
31296,Seine-Maritime,15095,Ouvert,202.0,alphabetisation,False,,,Formation français,1
31307,Val-d'Oise,15171,Ouvert,203.0,,False,,,Accompagnement à l'emploi,1
31317,Yvelines,15235,Ouvert,403.0,,False,,,Domiciliation,1
31318,Puy-de-Dôme,15239,Fermé,602.0,boisson,False,,,Restauration assise,1
31324,Loire-Atlantique,15267,Fermé,804.0,Code de la route,False,,,Activités,1
31351,Seine-Maritime,15344,Ouvert,804.0,Café sourires ,False,,,Activités,1
31352,Val-d'Oise,15347,Ouvert,801.0,Yoga,False,,,Sport,1
31364,Hérault,15426,Ouvert,407.0,,False,,,Conseil administratif,1
31365,Hérault,15427,Ouvert,407.0,,False,,,Conseil administratif,1
31371,Cantal,15476,Ouvert,804.0,Citoyenneté,False,,,Activités,1
31373,Paris,15489,Ouvert,402.0,,False,,,Permanence juridique,1
31389,Val-de-Marne,15562,Ouvert,407.0,,False,,,Conseil administratif,1
31403,Puy-de-Dôme,15620,Ouvert,402.0,,False,,,Permanence juridique,1
31452,Paris,15779,Ouvert,402.0,,False,,,Permanence juridique,1
31464,Seine-et-Marne,15844,Ouvert,703.0,,False,,,Hébergement à long terme,1
31474,Loire-Atlantique,15903,Ouvert,203.0,,False,,,Accompagnement à l'emploi,1
31475,Loire-Atlantique,15905,Ouvert,804.0,,False,,,Activités,1
31476,Essonne,15906,Ouvert,503.0,,False,,,Prise,1
31481,Puy-de-Dôme,15971,Ouvert,903.0,,False,,,Vêtements,1
31483,Nord,15990,Modification,407.0,,False,,,Conseil administratif,1
31499,Hérault,16034,Ouvert,804.0,Animations seniors,False,,,Activités,1
31524,Paris,0,Ouvert,302.0,Hygiène et bien-être,False,,,Laverie,1
31525,Paris,1,Fermé,701.0,Accueil de jour,False,,,Accueil de jour,1
31527,Paris,3,Ouvert,402.0,Conseil juridique,False,,,Permanence juridique,1
31530,Paris,10,Ouvert,903.0,Matériel,False,,,Vêtements,1
31531,Paris,11,Ouvert,804.0,Atelier sport adapté,False,,,Activités,1
31532,Paris,12,Ouvert,110.0,Infirmerie,False,,,Infirmerie,1
31533,Paris,13,Ouvert,102.0,Santé,False,,,Dépistage,1
31534,Paris,15,Ouvert,804.0,Activités culturelles,False,,,Activités,1
31535,Paris,16,Ouvert,105.0,Santé,False,,,Généraliste,1
31536,Paris,17,Fermé,804.0,Activités culturelles,False,,,Activités,1
31537,Paris,18,Ouvert,701.0,Accueil de jour,False,,,Accueil de jour,1
31538,Paris,20,Ouvert,302.0,Laverie,False,,,Laverie,1
31539,Paris,21,Ouvert,302.0,Laverie,False,,,Laverie,1
31540,Paris,22,Ouvert,403.0,Conseil,False,,,Domiciliation,1
31542,Paris,25,Ouvert,304.0,Douche,False,,,Toilettes,1
31543,Paris,29,Fermé,201.0,Formation numérique,True,2021-12-18 00:00:00+00:00,2022-01-02 00:00:00+00:00,Atelier numérique,1
31545,Paris,31,Ouvert,603.0,Colis Alimentaire,False,,,Colis Alimentaire,1
31546,Paris,32,Ouvert,110.0,Infirmerie,False,,,Infirmerie,1
31548,Paris,35,Fermé,203.0,Formation et emploi,False,,,Accompagnement à l'emploi,1
31549,Paris,37,Ouvert,302.0,Laverie,False,,,Laverie,1
31550,Paris,38,Modification,501.0,Ordinateur,False,,,Ordinateur,1
31551,Paris,41,Ouvert,404.0,Accompagnement social,False,,,Accompagnement social,1
31552,Paris,42,Ouvert,407.0,Conseil,False,,,Conseil administratif,1
31553,Paris,43,Ouvert,402.0,Conseil juridique,False,,,Permanence juridique,1
31554,Paris,44,Modification,402.0,CONSEIL,True,2021-11-22 00:00:00+00:00,2022-03-10 00:00:00+00:00,Permanence juridique,1
31555,Paris,45,Ouvert,203.0,FORMATION_EMPLOI,False,,,Accompagnement à l'emploi,1
31557,Paris,47,Ouvert,801.0,Activités,False,,,Sport,1
31559,Seine-Saint-Denis,50,Ouvert,301.0,Douche,False,,,Douche,1
31561,Paris,52,Fermé,202.0,alphabetisation,False,,,Formation français,1
31567,Paris,58,Ouvert,804.0,Ateliers jeux,False,,,Activités,1
31619,Paris,112,Ouvert,203.0,Formation et emploi,False,,,Accompagnement à l'emploi,1
31620,Paris,114,Fermé,201.0,Formation et emploi,False,,,Atelier numérique,1
31621,Paris,115,Ouvert,602.0,petitdej,False,,,Restauration assise,1
31622,Paris,116,Ouvert,301.0,Douche,False,,,Douche,1
31623,Paris,117,Ouvert,110.0,Infirmerie,False,,,Infirmerie,1
31627,Paris,123,Ouvert,301.0,Douche,False,,,Douche,1
31628,Paris,124,Ouvert,505.0,TECHNOLOGIE,False,,,Numérisation de documents,1
31629,Paris,126,Ouvert,103.0,Psychologie,False,,,Psychologie,1
31632,Paris,130,Ouvert,402.0,Conseil juridique,False,,,Permanence juridique,1
31633,Paris,132,Fermé,101.0,,True,2021-12-24 00:00:00+00:00,2022-01-02 00:00:00+00:00,Addiction,1
31634,Paris,134,Ouvert,407.0,Conseil,False,,,Conseil administratif,1
31635,Seine-Saint-Denis,136,Ouvert,302.0,Hygiène et bien-être,False,,,Laverie,1
31636,Seine-Saint-Denis,137,Ouvert,803.0,,False,,,Bibliothèque,1
31637,Seine-Saint-Denis,138,Ouvert,301.0,Hygiène et bien-être,False,,,Douche,1
31638,Seine-Saint-Denis,139,Modification,302.0,HYGIENE,False,,,Laverie,1
31648,Paris,152,Ouvert,404.0,CONSEIL,False,,,Accompagnement social,1
31653,Paris,158,Ouvert,903.0,,False,,,Vêtements,1
31695,Paris,210,Modification,903.0,MATERIEL,True,2021-07-01 00:00:00+00:00,2021-08-31 00:00:00+00:00,Vêtements,1
31699,Paris,214,Ouvert,502.0,Technologie,False,,,Wifi,1
31702,Paris,217,Ouvert,201.0,Formation et emploi,False,,,Atelier numérique,1
31703,Paris,218,Modification,202.0,fle,False,,,Formation français,1
31704,Paris,220,Ouvert,206.0,FORMATION_EMPLOI,False,,,Soutien scolaire,1
31709,Paris,225,Fermé,803.0,,False,,,Bibliothèque,1
31713,Paris,229,Modification,202.0,fle,False,,,Formation français,1
31715,Paris,231,Modification,202.0,fle,False,,,Formation français,1
31716,Paris,232,Fermé,503.0,Technologie,False,,,Prise,1
31717,Paris,233,Ouvert,503.0,Technologie,False,,,Prise,1
31720,Paris,236,Ouvert,202.0,fle,False,,,Formation français,1
31722,Paris,238,Ouvert,803.0,,False,,,Bibliothèque,1
31723,Paris,239,Modification,202.0,fle,False,,,Formation français,1
31725,Paris,241,Modification,202.0,fle,False,,,Formation français,1
31726,Paris,242,Ouvert,503.0,Technologie,False,,,Prise,1
31730,Paris,246,Fermé,804.0,"Ciné, concert, ateliers lecture et créatifs, conférences, etc.",False,,,Activités,1
31732,Paris,248,Ouvert,305.0,CONSEIL,False,,,Protections périodiques,1
31734,Paris,250,Ouvert,501.0,Technologie,False,,,Ordinateur,1
31735,Paris,251,Ouvert,202.0,fle,False,,,Formation français,1
31737,Paris,253,Ouvert,202.0,asl,False,,,Formation français,1
31738,Paris,254,Ouvert,804.0,Séance cinéma au Forum des images,False,,,Activités,1
31741,Paris,257,Fermé,503.0,Technologie,False,,,Prise,1
31742,Paris,258,Ouvert,501.0,Technologie,False,,,Ordinateur,1
31744,Paris,260,Ouvert,503.0,Technologie,False,,,Prise,1
31745,Paris,261,Ouvert,804.0,"Animations pour enfants (lecture, jeux vidéos...)",False,,,Activités,1
31746,Paris,262,Modification,202.0,fle,False,,,Formation français,1
31749,Paris,266,Ouvert,201.0,Formation et emploi,False,,,Atelier numérique,1
31751,Paris,269,Modification,804.0,Atelier de conversation en français,True,2021-12-21 00:00:00+00:00,2022-01-02 00:00:00+00:00,Activités,1
31752,Paris,270,Ouvert,201.0,Formation et emploi,False,,,Atelier numérique,1
31753,Paris,271,Modification,206.0,Formation et emploi,True,,,Soutien scolaire,1
31767,Paris,286,Ouvert,402.0,CONSEIL,False,,,Permanence juridique,1
31783,Paris,304,Ouvert,401.0,CONSEIL,False,,,Conseil logement,1
31784,Paris,305,Ouvert,401.0,CONSEIL,False,,,Conseil logement,1
31785,Paris,306,Ouvert,505.0,,False,,,Numérisation de documents,1
31786,Paris,308,Ouvert,402.0,CONSEIL,False,,,Permanence juridique,1
31789,Paris,311,Fermé,801.0,Gymnastique douce,False,,,Sport,1
31790,Paris,312,Modification,404.0,CONSEIL,False,,,Accompagnement social,1
31793,Paris,315,Fermé,202.0,alphabetisation,True,2021-06-25 00:00:00+00:00,2021-10-04 00:00:00+00:00,Formation français,1
31797,Paris,319,Fermé,407.0,CONSEIL,False,,,Conseil administratif,1
31798,Paris,320,Fermé,402.0,CONSEIL,False,,,Permanence juridique,1
31800,Paris,323,Modification,402.0,,False,,,Permanence juridique,1
